Taxon,Total length,No of charsets,atpB_final_alignment.fasta,matK_final_alignment.fasta,ndhF_final_alignment.fasta,rbcL_final_alignment.fasta,
Acanthaceae Anisacanthus comp. OUTSIDE,2836 bp,2,(No data),2254 (1434 indels),(No data),582 (29 indels),
Acanthaceae Aphelandra squarrosa,6363 bp,3,(No data),2088 (1291 indels),"3694 (1 'N', 1694 indels)",581 (29 indels),
Acanthaceae Avicennia germinans,13246 bp,3,(No data),7756 (5309 indels),"3790 (101 'N', 1831 indels)","1700 (1 'N', 298 indels)",
Acanthaceae Dyschoriste comp. OUTSIDE,2620 bp,2,(No data),1719 (1062 indels),(No data),901 (343 indels),
Acanthaceae Elytraria imbricata,11455 bp,2,(No data),"7758 (4 'N', 5340 indels)","3697 (50 'N', 1682 indels)",(No data),
Acanthaceae Justicia carnea,7905 bp,3,(No data),2132 (1409 indels),4155 (1889 indels),1618 (255 indels),
Acanthaceae Mendoncia hoffmannseggiana,582 bp,1,(No data),(No data),(No data),582 (29 indels),
Acanthaceae Nelsonia canescens,7411 bp,3,(No data),2161 (1421 indels),"3552 (37 'N', 1681 indels)",1698 (298 indels),
Acanthaceae Nelsonia comp. OUTSIDE,12350 bp,4,1579 (130 indels),5324 (3580 indels),3749 (1685 indels),1698 (298 indels),
Acanthaceae Odontonema comp. OUTSIDE,2747 bp,2,(No data),2166 (1432 indels),(No data),581 (29 indels),
Acanthaceae Pachystachys comp. OUTSIDE,2812 bp,2,(No data),"2230 (1 'N', 1432 indels)",(No data),582 (29 indels),
Acanthaceae Ruellia brevifolia,1726 bp,1,(No data),(No data),(No data),"1726 (28 'N', 298 indels)",
Acanthaceae Ruellia geminiflora,581 bp,1,(No data),(No data),(No data),581 (29 indels),
Acanthaceae Ruellia simplex,2832 bp,2,(No data),2250 (1427 indels),(No data),582 (29 indels),
Achariaceae Carpotroche comp. OUTSIDE,5999 bp,2,(No data),4272 (2922 indels),1727 (968 indels),(No data),
Achariaceae Lindackeria paludosa,1686 bp,1,(No data),(No data),1686 (971 indels),(No data),
Adoxaceae Sambucus australis,2470 bp,1,(No data),2470 (1695 indels),(No data),(No data),
Aizoaceae Sesuvium portulacastrum,3161 bp,2,(No data),1719 (1068 indels),(No data),1442 (226 indels),
Alismataceae Echinodorus floribundus,3327 bp,1,(No data),3327 (2069 indels),(No data),(No data),
Alismataceae Echinodorus grandiflorus,4600 bp,2,(No data),3388 (2077 indels),(No data),1212 (30 indels),
Alismataceae Echinodorus grisebachii,3363 bp,1,(No data),3363 (2075 indels),(No data),(No data),
Alismataceae Echinodorus longipetalus,3363 bp,1,(No data),3363 (2070 indels),(No data),(No data),
Alismataceae Echinodorus paniculatus,3227 bp,1,(No data),3227 (1985 indels),(No data),(No data),
Alismataceae Echinodorus subalatus,3290 bp,1,(No data),3290 (2069 indels),(No data),(No data),
