Family,Genus,Species,Combination,Endimica,Formas_de_Vida,Distr_UF,Dom_Fitogeografico,Tipo_Vegetacao,AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO
Acanthaceae,Anisacanthus,trilobus,Anisacanthus trilobus,e endemica do Brasil,Arbusto,BA; CE; PE; PI,Caatinga,Floresta Estacional Decidual,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Acanthaceae,Aphelandra,bahiensis,Aphelandra bahiensis,desconhecido,Subarbusto,BA,Mata Atlantica,Floresta Ombrufila (= Floresta Pluvial),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthaceae,Aphelandra,blanchetiana,Aphelandra blanchetiana,desconhecido,Subarbusto,BA; ES,Mata Atlantica,Floresta Ombrufila (= Floresta Pluvial),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthaceae,Aphelandra,claussenii,Aphelandra claussenii,desconhecido,Subarbusto,ES; MG; RJ,Mata Atlantica,Floresta Ombrufila (= Floresta Pluvial),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acanthaceae,Aphelandra,colorata,Aphelandra colorata,desconhecido,Subarbusto,MG; RJ; SP,Mata Atlantica,Floresta Ombrufila (= Floresta Pluvial),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Acanthaceae,Aphelandra,gigantea,Aphelandra gigantea,e endemica do Brasil,Arbusto,BA; ES; MG,Mata Atlantica,Floresta Ombrufila (= Floresta Pluvial),0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthaceae,Aphelandra,harleyi,Aphelandra harleyi,e endemica do Brasil,Arbusto; Subarbusto,BA; ES,Mata Atlantica,"Floresta Ombrufila (= Floresta Pluvial), Restinga",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthaceae,Aphelandra,hirta,Aphelandra hirta,desconhecido,Subarbusto,MG; RJ,Mata Atlantica,Floresta Ombrufila (= Floresta Pluvial),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Acanthaceae,Aphelandra,ignea,Aphelandra ignea,e endemica do Brasil,Erva,BA; MG,Mata Atlantica,Floresta Ombrufila (= Floresta Pluvial),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthaceae,Aphelandra,longiflora,Aphelandra longiflora,desconhecido,Arbusto; Subarbusto,AC; DF; ES; GO; MG; MS; MT; PA; PR; RJ; RO; SC; SP,"Amazunia, Cerrado, Mata Atlantica","Floresta Ciliar ou Galeria, Floresta de Terra Firme, Floresta Ombrufila (= Floresta Pluvial), Restinga",1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0
Acanthaceae,Aphelandra,marginata,Aphelandra marginata,e endemica do Brasil,Subarbusto,BA; MG,Mata Atlantica,Floresta Ombrufila (= Floresta Pluvial),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthaceae,Aphelandra,neesiana,Aphelandra neesiana,desconhecido,Subarbusto,BA; RJ,Mata Atlantica,Floresta Ombrufila (= Floresta Pluvial),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
