"id","data.Count","data.Percentage","tree.Count","tree.Percentage","total.Percentage"
"Mata Atlantica",4088,25,833,19.67,20.38
"Cerrado, Mata Atlantica",1649,10.09,411,9.7,24.92
"Cerrado",3309,20.24,376,8.88,11.36
"Amazunia, Caatinga, Cerrado, Mata Atlantica",679,4.15,341,8.05,50.22
"Amazunia, Cerrado, Mata Atlantica",567,3.47,268,6.33,47.27
"Amazunia",591,3.61,235,5.55,39.76
"Amazunia, Mata Atlantica",479,2.93,205,4.84,42.8
"Caatinga, Cerrado, Mata Atlantica",570,3.49,196,4.63,34.39
"Caatinga, Cerrado",869,5.32,181,4.27,20.83
"Amazunia, Cerrado",481,2.94,169,3.99,35.14
"Caatinga",995,6.09,166,3.92,16.68
"Amazunia, Caatinga, Cerrado, Mata Atlantica, Pampa, Pantanal",181,1.11,135,3.19,74.59
"Amazunia, Caatinga, Cerrado, Mata Atlantica, Pantanal",189,1.16,121,2.86,64.02
"Caatinga, Mata Atlantica",329,2.01,97,2.29,29.48
"Amazunia, Caatinga, Cerrado",232,1.42,85,2.01,36.64
"Amazunia, Caatinga, Mata Atlantica",95,0.58,41,0.97,43.16
"Unknown",115,0.7,39,0.92,33.91
"Cerrado, Mata Atlantica, Pampa",147,0.9,38,0.9,25.85
"Mata Atlantica, Pampa",99,0.61,34,0.8,34.34
"Amazunia, Cerrado, Mata Atlantica, Pantanal",72,0.44,32,0.76,44.44
"Amazunia, Caatinga, Cerrado, Mata Atlantica, Pampa",46,0.28,25,0.59,54.35
"Amazunia, Caatinga",69,0.42,19,0.45,27.54
"Caatinga, Cerrado, Mata Atlantica, Pampa",44,0.27,19,0.45,43.18
"Amazunia, Cerrado, Pantanal",37,0.23,18,0.43,48.65
"Cerrado, Mata Atlantica, Pantanal",56,0.34,17,0.4,30.36
"Caatinga, Cerrado, Mata Atlantica, Pantanal",39,0.24,15,0.35,38.46
"Amazunia, Caatinga, Cerrado, Pantanal",30,0.18,12,0.28,40
"Caatinga, Cerrado, Mata Atlantica, Pampa, Pantanal",22,0.13,12,0.28,54.55
"Cerrado, Mata Atlantica, Pampa, Pantanal",33,0.2,11,0.26,33.33
"Amazunia, Caatinga, Mata Atlantica, Pantanal",13,0.08,9,0.21,69.23
"Amazunia, Cerrado, Mata Atlantica, Pampa, Pantanal",17,0.1,9,0.21,52.94
"Amazunia, Mata Atlantica, Pantanal",20,0.12,9,0.21,45
"Amazunia, Cerrado, Mata Atlantica, Pampa",16,0.1,7,0.17,43.75
"Cerrado, Pantanal",40,0.24,7,0.17,17.5
"Caatinga, Pantanal",12,0.07,5,0.12,41.67
"Cerrado, Pampa",25,0.15,5,0.12,20
"Mata Atlantica, Pantanal",14,0.09,5,0.12,35.71
"Caatinga, Mata Atlantica, Pampa",8,0.05,4,0.09,50
"Amazunia, Mata Atlantica, Pampa",5,0.03,3,0.07,60
"Amazunia, Pantanal",9,0.06,3,0.07,33.33
"Caatinga, Cerrado, Pantanal",20,0.12,3,0.07,15
"Caatinga, Mata Atlantica, Pantanal",8,0.05,3,0.07,37.5
"Amazunia, Caatinga, Mata Atlantica, Pampa",3,0.02,2,0.05,66.67
"Amazunia, Caatinga, Mata Atlantica, Pampa, Pantanal",2,0.01,2,0.05,100
"Mata Atlantica, Pampa, Pantanal",5,0.03,2,0.05,40
"Amazunia, Caatinga, Cerrado, Pampa, Pantanal",1,0.01,1,0.02,100
"Amazunia, Caatinga, Pantanal",4,0.02,1,0.02,25
"Caatinga, Cerrado, Pampa",4,0.02,1,0.02,25
"Caatinga, Mata Atlantica, Pampa, Pantanal",1,0.01,1,0.02,100
"Caatinga, Pampa",1,0.01,1,0.02,100
"Caatinga, Pampa, Pantanal",2,0.01,1,0.02,50
"Amazunia, Caatinga, Cerrado, Pampa",1,0.01,0,0,0
"Amazunia, Cerrado, Pampa",1,0.01,0,0,0
"Amazunia, Cerrado, Pampa, Pantanal",1,0.01,0,0,0
"Caatinga, Cerrado, Pampa, Pantanal",1,0.01,0,0,0
"Cerrado, Pampa, Pantanal",1,0.01,0,0,0
"Pampa",1,0.01,0,0,0
"Pantanal",1,0.01,0,0,0
