"id","data.Count","data.Percentage","tree.Count","tree.Percentage","total.Percentage"
"Fabaceae",1328,8.12,601,14.17,45.26
"Orchidaceae",1174,7.18,388,9.15,33.05
"Poaceae",722,4.42,299,7.05,41.41
"Asteraceae",1272,7.78,289,6.81,22.72
"Bromeliaceae",635,3.88,190,4.48,29.92
"Apocynaceae",405,2.48,150,3.54,37.04
"Malpighiaceae",306,1.87,124,2.92,40.52
"Bignoniaceae",268,1.64,117,2.76,43.66
"Melastomataceae",708,4.33,107,2.52,15.11
"Cyperaceae",372,2.28,104,2.45,27.96
"Myrtaceae",524,3.21,98,2.31,18.7
"Rubiaceae",552,3.38,82,1.93,14.86
"Gesneriaceae",72,0.44,64,1.51,88.89
"Euphorbiaceae",496,3.03,63,1.49,12.7
"Cactaceae",152,0.93,60,1.41,39.47
"Malvaceae",399,2.44,60,1.41,15.04
"Solanaceae",243,1.49,57,1.34,23.46
"Lamiaceae",279,1.71,52,1.23,18.64
"Passifloraceae",80,0.49,49,1.16,61.25
"Araceae",168,1.03,46,1.08,27.38
"Annonaceae",115,0.7,44,1.04,38.26
"Piperaceae",206,1.26,44,1.04,21.36
"Lauraceae",180,1.1,37,0.87,20.56
"Lentibulariaceae",61,0.37,37,0.87,60.66
"Convolvulaceae",266,1.63,36,0.85,13.53
"Dioscoreaceae",75,0.46,36,0.85,48
"Sapotaceae",95,0.58,35,0.83,36.84
"Celastraceae",78,0.48,33,0.78,42.31
"Arecaceae",118,0.72,30,0.71,25.42
"Moraceae",92,0.56,26,0.61,28.26
"Polygalaceae",117,0.72,25,0.59,21.37
"Sapindaceae",205,1.25,25,0.59,12.2
"Phyllanthaceae",75,0.46,24,0.57,32
"Dilleniaceae",36,0.22,23,0.54,63.89
"Alstroemeriaceae",28,0.17,22,0.52,78.57
"Chrysobalanaceae",82,0.5,21,0.5,25.61
"Lecythidaceae",29,0.18,21,0.5,72.41
"Violaceae",41,0.25,21,0.5,51.22
"Iridaceae",80,0.49,19,0.45,23.75
"Verbenaceae",164,1,18,0.42,10.98
"Aristolochiaceae",48,0.29,17,0.4,35.42
"Polygonaceae",51,0.31,17,0.4,33.33
"Salicaceae",51,0.31,17,0.4,33.33
